Order Date,Product Name,Sales,Quantity,State
04/01/2024,Mantequilla con sal,244.0,61,Nueva York
25/12/2024,Dulce de leche,2565.0,855,Massachusetts
28/01/2024,Leche entera,238.75,191,Texas
02/06/2024,Suero de leche,1706.0,853,Massachusetts
07/05/2024,Crema batida,1533.75,409,Massachusetts
21/01/2024,Queso parmesano,1555.2,324,California
15/07/2024,Leche condensada,2277.5,911,California
01/05/2024,Bebidas lácteas,1051.2,876,Nueva York
02/08/2024,Yogur griego,967.5,645,Nueva York
07/03/2024,Kumis,1727.5,691,Massachusetts
18/07/2024,Yogur natural,177.0,177,Massachusetts
21/05/2024,Crema batida,2928.75,781,Texas
14/08/2024,Kumis,842.5,337,Nueva York
01/08/2024,Leche condensada,1315.0,526,Texas
22/12/2024,Bebidas lácteas,1706.0,853,Nueva York
28/09/2024,Cuajada,118.8,54,Nueva York
17/10/2024,Mantequilla clarificada (ghee),2627.75,457,California
01/11/2024,Leche condensada,782.5,313,California
20/03/2024,Queso havarti,798.0,152,Texas
27/09/2024,Queso crema,798.0,285,Massachusetts
09/01/2024,Yogur griego,760.5,507,Nueva York
20/07/2024,Queso crema,1190.0,425,Texas
13/03/2024,Queso azul gorgonzola,5736.0,956,Texas
13/10/2024,Suero de leche,158.0,79,Texas
30/05/2024,Mantequilla clarificada (ghee),1420.25,247,Florida
06/12/2024,Yogur con frutas,1050.0,875,Florida
19/02/2024,Suero de leche,1768.0,884,Nueva York
27/06/2024,Queso camembert,2262.0,377,Florida
15/10/2024,Queso en lonchas,1945.6,512,Massachusetts
06/10/2024,Mantequilla clarificada (ghee),1219.0,212,Texas
01/06/2024,Mantequilla sin sal,3015.6,718,Texas
09/04/2024,Cuajada,1471.8,669,Massachusetts
27/11/2024,Queso azul gorgonzola,2322.0,387,Nueva York
06/12/2024,Queso cheddar añejo,4545.0,909,California
01/10/2024,Leche descremada,524.4,456,Nueva York
21/06/2024,Yogur con frutas,1195.2,996,California
20/09/2024,Suero de leche,942.0,471,Massachusetts
14/04/2024,Leche evaporada,2187.3,951,Nueva York
13/12/2024,Yogur con frutas,640.8,534,Nueva York
09/11/2024,Dulce de leche,1383.0,461,California
24/12/2024,Mantequilla clarificada (ghee),2058.5,358,Nueva York
25/10/2024,Yogur griego,1050.0,700,California
23/11/2024,Mantequilla clarificada (ghee),3484.5,606,Florida
07/11/2024,Leche saborizada,423.0,282,Nueva York
22/12/2024,Suero de leche,1292.0,646,California
03/07/2024,Crema batida,881.25,235,Massachusetts
29/02/2024,Queso edam,3372.5,710,Massachusetts
03/07/2024,Leche en polvo,2517.0,839,Texas
23/08/2024,Mantequilla con sal,2864.0,716,Texas
20/11/2024,Yogur con frutas,292.8,244,California
26/09/2024,Bebidas lácteas,524.4,437,California
25/11/2024,Yogur con frutas,1015.2,846,Massachusetts
23/03/2024,Leche en polvo,2316.0,772,Florida
31/05/2024,Dulce de leche,2055.0,685,Florida
22/10/2024,Mantequilla sin sal,2889.6,688,Florida
20/03/2024,Leche entera,338.75,271,Texas
04/06/2024,Yogur griego,856.5,571,Texas
09/12/2024,Dulce de leche,549.0,183,California
17/07/2024,Yogur griego,423.0,282,Texas
28/10/2024,Yogur con frutas,1137.6,948,California
17/03/2024,Crema de leche,1773.04,296,California
27/11/2024,Mantequilla con sal,284.0,71,Florida
03/09/2024,Mantequilla clarificada (ghee),333.5,58,Texas
28/04/2024,Queso crema,1162.0,415,Massachusetts
16/05/2024,Queso havarti,378.0,72,Florida
01/08/2024,Yogur griego,1071.0,714,California
29/06/2024,Dulce de leche,540.0,180,California
14/11/2024,Yogur con frutas,133.2,111,Nueva York
07/02/2024,Leche en polvo,522.5,95,Florida
03/01/2024,Queso blanco,710.0,142,California
08/06/2024,Mantequilla con sal,3704.0,926,Nueva York
29/12/2024,Crema agria,1477.5,591,Texas
23/08/2024,Mantequilla clarificada (ghee),4266.5,742,Texas
04/05/2024,Queso edam,147.25,31,California
15/10/2024,Leche semidescremada,328.8,274,Nueva York
30/04/2024,Queso crema,1537.2,549,Massachusetts
19/10/2024,Leche semidescremada,112.8,94,Florida
22/04/2024,Yogur natural,1764.0,504,Nueva York
28/02/2024,Yogur con frutas,45.6,38,Texas
08/07/2024,Mantequilla clarificada (ghee),2288.5,398,Nueva York
03/12/2024,Leche entera,2940.0,840,Massachusetts
25/03/2024,Crema de leche,5408.97,903,Florida
12/05/2024,Crema batida,3735.0,996,Florida
29/09/2024,Mantequilla clarificada (ghee),3496.0,608,California
08/10/2024,Dulce de leche,2862.0,954,Texas
23/09/2024,Helado,1191.0,794,Nueva York
04/09/2024,Crema agria,577.5,231,Florida
18/10/2024,Mantequilla con sal,680.0,170,Nueva York
10/08/2024,Queso camembert,4608.0,768,Nueva York
04/01/2024,Queso crema,711.2,254,Nueva York
19/04/2024,Leche deslactosada,205.4,158,Massachusetts
20/10/2024,Helado,1955.0,460,Texas
10/11/2024,Crema agria,767.5,307,California
09/03/2024,Queso azul gorgonzola,4716.0,786,Massachusetts
06/03/2024,Queso azul roquefort,2906.25,465,Texas
19/11/2024,Yogur griego,286.5,191,Massachusetts
05/05/2024,Leche en polvo,2249.5,409,California
01/12/2024,Crema batida,2028.75,541,California
18/08/2024,Queso en lonchas,57.0,15,Massachusetts
26/01/2024,Crema batida,866.25,231,Texas
27/04/2024,Leche descremada,829.15,721,Texas
26/12/2024,Kumis,950.0,380,Florida
15/12/2024,Queso gruyere,4262.5,775,California
26/04/2024,Crema de leche,2929.11,489,Massachusetts
28/05/2024,Leche en polvo,2148.0,716,Massachusetts
31/05/2024,Cuajada,169.4,77,Massachusetts
12/07/2024,Yogur griego,1356.0,904,California
03/02/2024,Crema de leche,1581.36,264,Nueva York
25/02/2024,Queso azul gorgonzola,822.0,137,Nueva York
22/02/2024,Leche en polvo,324.0,108,California
06/01/2024,Mantequilla con sal,2064.0,516,Nueva York
07/03/2024,Queso crema,890.4,318,Massachusetts
13/09/2024,Helado,108.0,72,Massachusetts
23/03/2024,Mantequilla clarificada (ghee),5571.75,969,California
08/05/2024,Mantequilla sin sal,604.8,144,Florida
02/02/2024,Suero de leche,1810.0,905,Massachusetts
10/12/2024,Mantequilla sin sal,3700.2,881,California
19/11/2024,Queso para untar,2195.2,686,California
06/08/2024,Crema batida,3678.75,981,Florida
27/11/2024,Mantequilla sin sal,2112.6,503,California
09/02/2024,Crema batida,1781.25,475,Nueva York
05/03/2024,Mantequilla sin sal,1533.0,365,California
02/04/2024,Queso camembert,2196.0,366,Florida
21/01/2024,Queso mozzarella,352.5,94,Texas
29/04/2024,Leche condensada,952.5,381,Florida
13/02/2024,Leche en polvo,2604.0,868,California
12/07/2024,Mantequilla clarificada (ghee),3404.0,592,Texas
24/05/2024,Mantequilla sin sal,2444.4,582,California
25/01/2024,Queso gruyere,3289.0,598,Nueva York
23/01/2024,Leche saborizada,82.5,55,Massachusetts
16/07/2024,Queso edam,736.25,155,Nueva York
14/07/2024,Crema batida,273.75,73,Texas
25/03/2024,Mantequilla sin sal,1285.2,306,Florida
25/07/2024,Suero de leche,1314.0,657,California
07/05/2024,Crema batida,2190.0,584,Texas
12/06/2024,Queso cheddar añejo,3310.0,662,Nueva York
31/01/2024,Yogur con frutas,912.0,760,Massachusetts
16/09/2024,Queso blanco,4520.0,904,Texas
16/01/2024,Suero de leche,386.0,193,Florida
21/12/2024,Leche semidescremada,289.2,241,Nueva York
18/09/2024,Mantequilla con sal,296.0,74,Texas
23/01/2024,Yogur natural,1302.0,372,Massachusetts
25/07/2024,Cuajada,279.4,127,Texas
10/08/2024,Suero de leche,1710.0,855,Nueva York
07/02/2024,Yogur con frutas,568.8,474,Florida
05/09/2024,Crema de leche,2521.79,421,California
17/09/2024,Yogur con frutas,657.6,548,California
06/05/2024,Leche deslactosada,525.3,618,Nueva York
17/09/2024,Queso azul roquefort,4525.0,724,Nueva York
16/03/2024,Yogur con frutas,900.0,750,California
03/12/2024,Suero de leche,1632.0,816,Nueva York
03/11/2024,Leche condensada,1850.0,740,Nueva York
29/12/2024,Leche deslactosada,1263.6,972,Florida
16/05/2024,Leche entera,702.5,562,Massachusetts
18/10/2024,Mantequilla con sal,3444.0,861,Florida
06/08/2024,Queso azul gorgonzola,1734.0,289,Texas
06/06/2024,Queso en lonchas,3207.2,844,Massachusetts
24/11/2024,Crema agria,1295.0,518,Nueva York
21/03/2024,Leche evaporada,2265.5,985,Massachusetts
31/08/2024,Helado,1649.0,388,Texas
26/08/2024,Yogur con frutas,1084.8,904,Florida
15/07/2024,Yogur griego,1098.0,732,Nueva York
21/03/2024,Queso gruyere,4482.5,815,California
14/08/2024,Suero de leche,464.0,232,California
16/08/2024,Suero de leche,510.0,255,Massachusetts
30/09/2024,Queso crema,2438.8,871,Texas
20/11/2024,Crema de leche,413.31,69,Texas
08/02/2024,Leche semidescremada,308.7,441,Massachusetts
21/04/2024,Queso crema,2710.4,968,Massachusetts
05/10/2024,Leche descremada,285.2,248,Nueva York
07/08/2024,Leche saborizada,229.0,229,Florida
04/12/2024,Bebidas lácteas,554.0,277,Florida
20/07/2024,Leche en polvo,2724.0,908,California
19/12/2024,Suero de leche,1420.0,710,Nueva York
19/02/2024,Queso para untar,2019.2,631,Nueva York
24/12/2024,Crema de leche,5756.39,961,Florida
12/07/2024,Cuajada,90.2,41,Nueva York
04/12/2024,Leche semidescremada,672.0,560,Massachusetts
10/09/2024,Queso brie,3030.0,505,California
22/05/2024,Crema agria,375.0,150,Massachusetts
23/03/2024,Bebidas lácteas,1146.0,573,Florida
26/05/2024,Leche evaporada,1403.0,610,Florida
05/07/2024,Yogur natural,1316.0,376,Massachusetts
30/03/2024,Kumis,137.5,55,Nueva York
03/11/2024,Leche descremada,761.3,662,Massachusetts
16/06/2024,Mantequilla clarificada (ghee),1460.5,254,Texas
29/04/2024,Crema batida,198.75,53,Texas
15/11/2024,Suero de leche,1292.0,646,Texas
03/04/2024,Leche descremada,537.05,467,Florida
13/01/2024,Queso cheddar añejo,2040.0,408,California
27/10/2024,Queso cheddar añejo,710.0,142,California
19/01/2024,Mantequilla sin sal,558.6,133,Massachusetts
20/10/2024,Bebidas lácteas,650.0,325,Florida
15/07/2024,Queso ricota,3684.0,921,Texas
08/12/2024,Crema batida,993.75,265,Massachusetts
08/01/2024,Helado,3752.75,883,Florida
20/02/2024,Crema de leche,4803.98,802,Florida
16/12/2024,Crema de leche,491.18,82,Texas
25/09/2024,Mantequilla sin sal,436.8,104,Florida
06/12/2024,Cuajada,1454.2,661,Nueva York
02/01/2024,Leche evaporada,1989.5,865,California
19/06/2024,Queso ricota,1736.0,434,Nueva York
21/04/2024,Mantequilla clarificada (ghee),3628.25,631,Massachusetts
19/05/2024,Crema batida,1308.75,349,Texas
18/03/2024,Suero de leche,1942.0,971,Nueva York
05/09/2024,Queso para untar,1814.4,567,California
06/04/2024,Queso parmesano,1132.8,236,Nueva York
25/09/2024,Yogur griego,526.5,351,Nueva York
10/04/2024,Yogur griego,183.0,122,California
12/05/2024,Yogur con frutas,819.6,683,Texas
23/02/2024,Helado,862.75,203,Nueva York
04/08/2024,Queso camembert,4158.0,693,California
25/12/2024,Mantequilla con sal,1152.0,288,Nueva York
26/07/2024,Yogur con frutas,691.2,576,Florida
24/02/2024,Queso havarti,5218.5,994,Texas
13/03/2024,Queso gouda,175.5,39,Texas
27/12/2024,Mantequilla clarificada (ghee),281.75,49,Massachusetts
03/03/2024,Suero de leche,1802.0,901,Texas
13/08/2024,Cuajada,774.4,352,California
27/03/2024,Mantequilla sin sal,1600.2,381,Texas
15/01/2024,Leche condensada,452.5,181,Texas
18/04/2024,Helado,1468.5,979,Florida
11/03/2024,Mantequilla sin sal,772.8,184,Nueva York
03/10/2024,Leche saborizada,669.0,446,Florida
22/06/2024,Mantequilla clarificada (ghee),5364.75,933,Florida
05/01/2024,Queso crema,565.6,202,Nueva York
09/09/2024,Leche evaporada,466.9,203,Texas
11/07/2024,Queso en lonchas,2743.6,722,Texas
15/07/2024,Yogur griego,385.5,257,Florida
22/11/2024,Mantequilla sin sal,2137.8,509,California
27/05/2024,Crema de leche,5043.58,842,Massachusetts
20/11/2024,Crema de leche,3150.74,526,California
13/06/2024,Helado,4046.0,952,Nueva York
10/01/2024,Leche evaporada,414.0,180,California
27/01/2024,Mantequilla sin sal,3175.2,756,Nueva York
11/08/2024,Queso azul roquefort,950.0,152,Massachusetts
10/05/2024,Cuajada,1038.4,472,California
17/02/2024,Yogur natural,2590.0,740,Nueva York
06/01/2024,Kumis,2375.0,950,Florida
30/01/2024,Leche condensada,1345.0,538,California
02/04/2024,Yogur griego,1164.0,776,Nueva York
02/08/2024,Queso parmesano,4435.2,924,Florida
26/10/2024,Yogur natural,3052.0,872,Nueva York
06/03/2024,Queso camembert,2274.0,379,Nueva York
30/03/2024,Leche deslactosada,328.95,387,Massachusetts
11/11/2024,Yogur natural,488.0,488,Texas
14/08/2024,Leche saborizada,798.0,532,California
24/12/2024,Queso edam,2246.75,473,California
09/04/2024,Mantequilla sin sal,1125.6,268,Massachusetts
03/01/2024,Queso blanco,2760.0,552,Florida
23/11/2024,Suero de leche,1542.0,771,Nueva York
18/08/2024,Queso crema,1218.0,435,Nueva York
17/09/2024,Queso havarti,740.25,141,Texas
17/02/2024,Mantequilla con sal,96.0,24,California
10/08/2024,Queso parmesano,2409.6,502,California
23/08/2024,Queso brie,3474.0,579,California
12/02/2024,Mantequilla sin sal,2276.4,542,Florida
21/11/2024,Mantequilla clarificada (ghee),3018.75,525,California
23/02/2024,Queso ricota,3128.0,782,Florida
04/09/2024,Mantequilla con sal,3140.0,785,California
25/11/2024,Leche condensada,2377.5,951,Massachusetts
20/11/2024,Leche deslactosada,839.8,646,Florida
25/07/2024,Crema de leche,5474.86,914,Massachusetts
06/06/2024,Dulce de leche,1533.0,511,Florida
01/05/2024,Leche entera,1134.0,324,Florida
24/06/2024,Leche saborizada,141.0,94,Florida
25/09/2024,Mantequilla con sal,3056.0,764,California
02/06/2024,Mantequilla sin sal,1776.6,423,Nueva York
15/04/2024,Queso azul gorgonzola,1092.0,182,California
19/02/2024,Kumis,1632.5,653,Texas
26/10/2024,Queso edam,2660.0,560,Florida
06/05/2024,Mantequilla clarificada (ghee),5612.0,976,Texas
22/03/2024,Kumis,1310.0,524,Texas
16/06/2024,Yogur con frutas,1042.8,869,Massachusetts
18/12/2024,Queso parmesano,1723.2,359,Florida
28/05/2024,Yogur griego,1132.5,755,Florida
14/06/2024,Suero de leche,1332.0,666,Nueva York
13/03/2024,Queso edam,4512.5,950,Florida
22/08/2024,Leche saborizada,691.5,461,Texas
01/08/2024,Mantequilla clarificada (ghee),2202.25,383,Nueva York
23/01/2024,Leche entera,563.75,451,California
15/07/2024,Yogur con frutas,1172.4,977,Texas
03/11/2024,Cuajada,1014.2,461,Nueva York
23/09/2024,Leche semidescremada,532.0,760,Massachusetts
07/10/2024,Leche saborizada,505.5,337,California
03/08/2024,Queso edam,3918.75,825,Nueva York
14/07/2024,Mantequilla clarificada (ghee),3087.75,537,Florida
29/03/2024,Mantequilla con sal,1164.0,291,Nueva York
04/09/2024,Queso crema,638.4,228,Florida
13/08/2024,Helado,1120.5,747,Massachusetts
18/06/2024,Crema agria,332.5,133,California
21/06/2024,Leche deslactosada,984.1,757,California
27/08/2024,Helado,1636.25,385,Florida
16/07/2024,Queso gouda,3483.0,774,Texas
08/03/2024,Yogur griego,1492.5,995,Texas
22/09/2024,Helado,991.5,661,Texas
04/08/2024,Crema de leche,616.97,103,Nueva York
09/05/2024,Yogur griego,210.0,140,Nueva York
03/02/2024,Dulce de leche,1287.0,429,Nueva York
18/10/2024,Crema batida,1357.5,362,California
18/03/2024,Yogur con frutas,399.6,333,Nueva York
27/10/2024,Cuajada,1617.0,735,Texas
27/03/2024,Mantequilla clarificada (ghee),3105.0,540,Massachusetts
19/09/2024,Dulce de leche,1008.0,336,Massachusetts
21/10/2024,Yogur griego,1165.5,777,Massachusetts
27/01/2024,Suero de leche,198.0,99,California
03/09/2024,Queso azul roquefort,6237.5,998,California
17/02/2024,Mantequilla con sal,1820.0,455,Texas
07/07/2024,Suero de leche,120.0,60,Florida
16/09/2024,Mantequilla clarificada (ghee),914.25,159,Florida
16/10/2024,Mantequilla clarificada (ghee),5681.0,988,California
14/07/2024,Kumis,1112.5,445,Florida
30/03/2024,Mantequilla con sal,3800.0,950,Massachusetts
26/05/2024,Leche en polvo,1732.5,315,Florida
01/05/2024,Leche condensada,1775.0,710,Florida
16/06/2024,Helado,1096.5,258,Nueva York
06/07/2024,Kumis,1200.0,480,Texas
09/09/2024,Mantequilla sin sal,919.8,219,Florida
16/03/2024,Queso edam,793.25,167,Massachusetts
20/01/2024,Queso ricota,2656.0,664,Massachusetts
07/05/2024,Mantequilla con sal,3356.0,839,California
31/03/2024,Queso para untar,2691.2,841,Nueva York
24/02/2024,Leche condensada,1645.0,658,Massachusetts
07/08/2024,Queso crema,2466.8,881,Florida
25/04/2024,Leche saborizada,235.5,157,Florida
29/07/2024,Yogur con frutas,556.8,464,Massachusetts
25/11/2024,Queso crema,1607.2,574,Florida
18/10/2024,Mantequilla sin sal,1377.6,328,California
04/03/2024,Crema agria,60.0,24,Nueva York
16/12/2024,Yogur griego,424.5,283,California
01/11/2024,Mantequilla sin sal,298.2,71,Nueva York
23/12/2024,Crema de leche,305.49,51,Nueva York
01/04/2024,Leche en polvo,2761.0,502,California
13/11/2024,Queso cheddar añejo,3440.0,688,Nueva York
27/06/2024,Mantequilla con sal,112.0,28,Nueva York
17/03/2024,Dulce de leche,1212.0,404,Florida
15/08/2024,Queso crema,834.4,298,Texas
05/09/2024,Queso gouda,162.0,36,Nueva York
14/06/2024,Queso blanco,930.0,186,Nueva York
06/07/2024,Yogur con frutas,56.4,47,Texas
15/10/2024,Cuajada,2127.4,967,California
03/07/2024,Cuajada,1027.4,467,California
14/04/2024,Queso crema,865.2,309,California
19/09/2024,Mantequilla sin sal,3838.8,914,Florida
28/04/2024,Queso crema,1215.2,434,Massachusetts
23/11/2024,Crema de leche,5756.39,961,Massachusetts
16/12/2024,Queso crema,518.0,185,Florida
13/02/2024,Queso edam,4555.25,959,Texas
07/02/2024,Queso havarti,4331.25,825,Texas
28/12/2024,Queso crema,2620.8,936,Nueva York
07/09/2024,Mantequilla sin sal,2725.8,649,Texas
11/08/2024,Kumis,2462.5,985,California
05/03/2024,Leche deslactosada,819.4,964,Massachusetts
22/09/2024,Yogur griego,621.0,414,Florida
20/02/2024,Kumis,1520.0,608,Florida
28/02/2024,Crema batida,2685.0,716,Texas
17/03/2024,Kumis,1345.0,538,Texas
06/08/2024,Cuajada,1980.0,900,Texas
22/04/2024,Crema agria,460.0,184,California
26/04/2024,Suero de leche,826.0,413,Florida
23/04/2024,Dulce de leche,2121.0,707,Texas
06/10/2024,Cuajada,1588.4,722,Florida
06/03/2024,Yogur con frutas,915.6,763,Massachusetts
08/12/2024,Crema agria,230.0,92,Massachusetts
21/02/2024,Yogur griego,580.5,387,Massachusetts
17/11/2024,Leche saborizada,861.0,861,Massachusetts
09/04/2024,Yogur griego,87.0,58,California
05/12/2024,Queso crema,420.0,150,Nueva York
07/02/2024,Mantequilla clarificada (ghee),4663.25,811,Texas
04/06/2024,Mantequilla sin sal,180.6,43,Texas
16/07/2024,Leche deslactosada,29.75,35,Massachusetts
12/06/2024,Helado,120.0,80,Massachusetts
26/08/2024,Mantequilla con sal,1136.0,284,Texas
22/02/2024,Queso crema,1780.8,636,Florida
08/08/2024,Yogur griego,321.0,214,Massachusetts
08/02/2024,Mantequilla con sal,588.0,147,Massachusetts
20/02/2024,Leche condensada,1402.5,561,Texas
16/09/2024,Queso ricota,872.0,218,Florida
09/04/2024,Mantequilla sin sal,1411.2,336,Massachusetts
03/02/2024,Mantequilla con sal,1220.0,305,Massachusetts
20/03/2024,Helado,337.5,225,Florida
16/12/2024,Queso en lonchas,657.4,173,Massachusetts
10/02/2024,Crema agria,585.0,234,California
07/01/2024,Yogur con frutas,357.6,298,Massachusetts
16/08/2024,Mantequilla sin sal,949.2,226,Nueva York
23/03/2024,Mantequilla clarificada (ghee),4715.0,820,California
07/03/2024,Mantequilla con sal,1432.0,358,California
17/05/2024,Queso mozzarella,315.0,84,Massachusetts
09/04/2024,Crema de leche,4660.22,778,California
03/12/2024,Mantequilla clarificada (ghee),5054.25,879,Texas
17/02/2024,Queso crema,1892.8,676,Massachusetts
24/12/2024,Crema batida,1721.25,459,California
05/08/2024,Queso crema,663.6,237,Massachusetts
02/06/2024,Yogur natural,591.5,169,Florida
04/03/2024,Yogur natural,662.0,662,Massachusetts
20/12/2024,Crema de leche,3959.39,661,California
17/02/2024,Yogur con frutas,1148.4,957,California
26/12/2024,Mantequilla con sal,3112.0,778,Nueva York
11/10/2024,Cuajada,1907.4,867,Nueva York
07/08/2024,Leche entera,329.25,439,Florida
12/09/2024,Mantequilla clarificada (ghee),1541.0,268,Massachusetts
07/07/2024,Mantequilla clarificada (ghee),4657.5,810,California
07/10/2024,Leche semidescremada,292.8,244,Nueva York
16/01/2024,Mantequilla sin sal,3876.6,923,Florida
17/05/2024,Mantequilla sin sal,3439.8,819,Nueva York
03/06/2024,Bebidas lácteas,1584.0,792,Nueva York
25/09/2024,Queso cheddar añejo,2735.0,547,California
27/01/2024,Queso havarti,1065.75,203,California
09/11/2024,Kumis,1117.5,447,California
25/07/2024,Mantequilla con sal,144.0,36,Florida
10/01/2024,Queso ricota,2124.0,531,Nueva York
08/05/2024,Cuajada,2114.2,961,California
16/09/2024,Yogur natural,490.0,490,Massachusetts
26/07/2024,Mantequilla con sal,1072.0,268,Nueva York
10/05/2024,Queso gruyere,2788.5,507,Florida
21/07/2024,Leche deslactosada,658.75,775,Nueva York
28/07/2024,Bebidas lácteas,178.8,149,Nueva York
10/07/2024,Crema de leche,1641.26,274,Nueva York
07/05/2024,Yogur con frutas,423.6,353,Massachusetts
25/06/2024,Queso edam,185.25,39,Texas
07/07/2024,Helado,2630.75,619,Florida
20/05/2024,Queso camembert,348.0,58,Florida
08/01/2024,Cuajada,1819.4,827,Texas
25/07/2024,Yogur con frutas,1034.4,862,Nueva York
13/02/2024,Suero de leche,62.0,31,California
14/09/2024,Leche descremada,1001.65,871,Florida
26/01/2024,Yogur griego,102.0,68,California
17/05/2024,Dulce de leche,2322.0,774,Massachusetts
23/10/2024,Queso edam,1686.25,355,Florida
30/03/2024,Yogur griego,1270.5,847,Texas
26/11/2024,Helado,3854.75,907,Texas
18/04/2024,Suero de leche,1518.0,759,Texas
15/03/2024,Queso edam,1315.75,277,Texas
18/02/2024,Helado,1221.0,814,Nueva York
11/01/2024,Suero de leche,580.0,290,Nueva York
06/10/2024,Crema de leche,4222.95,705,Texas
09/09/2024,Leche descremada,722.2,628,Nueva York
14/11/2024,Queso crema,1601.6,572,Massachusetts
26/08/2024,Queso para untar,1734.4,542,Texas
16/12/2024,Kumis,1855.0,742,Massachusetts
15/02/2024,Yogur natural,826.0,826,California
04/07/2024,Leche deslactosada,234.0,180,Florida
24/07/2024,Bebidas lácteas,876.0,438,Texas
25/12/2024,Suero de leche,1782.0,891,Massachusetts
20/07/2024,Leche entera,2121.0,606,Florida
21/01/2024,Queso brie,2496.0,416,Florida
10/04/2024,Yogur griego,384.0,256,California
26/11/2024,Leche evaporada,487.6,212,Massachusetts
10/02/2024,Suero de leche,932.0,466,Nueva York
28/12/2024,Helado,1130.5,266,Florida
05/01/2024,Dulce de leche,81.0,27,California
02/03/2024,Yogur griego,418.5,279,Florida
29/12/2024,Kumis,1512.5,605,Florida
21/05/2024,Mantequilla con sal,1028.0,257,Texas
01/06/2024,Bebidas lácteas,134.4,112,Texas
22/01/2024,Yogur natural,751.0,751,Florida
15/02/2024,Mantequilla clarificada (ghee),2213.75,385,Texas
21/05/2024,Mantequilla clarificada (ghee),471.5,82,Nueva York
15/04/2024,Crema agria,840.0,336,Massachusetts
10/06/2024,Crema agria,1037.5,415,Texas
